Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
93,Duncan Robinson\robindu01,SG,25,MIA,73,2166,13.1,0.684,0.882,0.105,0.5,11,6,7.1,0.8,0.9,8.9,16,3.7,1.6,5.3,0.118,1.5,-1,0.5,1.3
94,Jaren Jackson Jr.\jacksja02,C,20,MEM,57,1622,16.3,0.593,0.489,0.247,3.6,13.2,8.5,7.2,1.2,5,10.6,24,1.6,1.8,3.5,0.103,0.3,0.1,0.4,1
95,Maxi Kleber\klebima01,PF,28,DAL,74,1890,13.6,0.605,0.621,0.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,3.2,1.7,4.8,0.123,0.4,0,0.4,1.1
96,Dejounte Murray\murrade01,PG,23,SAS,66,1687,16.2,0.524,0.174,0.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2,2.6,0.074,-0.9,1.3,0.4,1
97,Mike Conley\conlemi01,PG,32,UTA,47,1363,14.1,0.537,0.451,0.245,2.8,9.2,6.1,23.1,1.3,0.3,12.8,23.1,1.4,1.1,2.5,0.089,0.7,-0.4,0.3,0.8
98,Ja Morant\moranja01,PG,20,MEM,67,2074,17.4,0.556,0.191,0.329,2.6,10.4,6.6,35.2,1.3,0.8,17,25.9,2.3,1.5,3.8,0.088,1.5,-1.2,0.3,1.2
99,Dwight Howard\howardw01,C,34,LAL,69,1306,18.7,0.696,0.018,0.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,2.8,2.6,5.4,0.197,-1,1.2,0.2,0.7
100,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,2083,15.6,0.603,0.489,0.296,2.1,11.2,6.8,10,0.8,0.3,13.1,25.5,2.6,1.6,4.2,0.096,1.6,-1.5,0.1,1.1
101,Serge Ibaka\ibakase01,C,30,TOR,55,1485,17.3,0.583,0.272,0.185,8.3,23.5,16.1,8.6,0.9,3,13.1,24,1.2,2.7,3.9,0.126,0.1,0,0.1,0.8
102,Myles Turner\turnemy01,C,23,IND,62,1826,14.8,0.566,0.426,0.288,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,0.111,-1,1.1,0.1,1
